,ADULT SERVICES,CAMPS,CHILD SERVICES AND WELFARE,"CITY AGENCY PARKING, MAINTENANCE, AND STORAGE",CULTURAL INSTITUTIONS,DAY CARE AND PRE-KINDERGARTEN,EMERGENCY SERVICES,HEALTH CARE,HIGHER EDUCATION,HISTORICAL SITES,HUMAN SERVICES,JUSTICE AND CORRECTIONS,LIBRARIES,MATERIAL SUPPLIES AND MARKETS,"OFFICES, TRAINING, AND TESTING",OTHER PROPERTY,PARKS AND PLAZAS,PUBLIC SAFETY,SCHOOLS (K-12),SOLID WASTE,TELECOMMUNICATIONS,TRANSPORTATION,VOCATIONAL AND PROPRIETARY SCHOOLS,WATER AND WASTEWATER,YOUTH SERVICES,zip,revised_market_value,Cluster
89,3.0,0.0,11.0,0.0,8.0,29.0,2.0,32.0,1.0,2.0,22.0,0.0,2.0,0.0,3.0,0.0,15.0,1.0,27.0,13.0,0.0,35.0,11.0,0.0,39.0,10458.0,2152755.5714285714,1
90,0.0,0.0,21.0,3.0,2.0,21.0,1.0,40.0,0.0,1.0,28.0,0.0,1.0,0.0,2.0,0.0,26.0,2.0,22.0,11.0,0.0,20.0,1.0,0.0,44.0,10459.0,583222.8666666667,1
91,1.0,0.0,20.0,6.0,3.0,29.0,1.0,26.0,0.0,2.0,22.0,0.0,1.0,0.0,0.0,0.0,27.0,1.0,29.0,14.0,0.0,24.0,1.0,0.0,62.0,10460.0,1113611.111111111,1
92,0.0,0.0,15.0,0.0,7.0,26.0,2.0,76.0,2.0,3.0,15.0,0.0,2.0,0.0,4.0,0.0,14.0,3.0,28.0,9.0,0.0,52.0,1.0,0.0,14.0,10461.0,974539.6825396825,1
93,0.0,0.0,10.0,6.0,8.0,19.0,2.0,10.0,0.0,3.0,12.0,0.0,3.0,0.0,2.0,0.0,10.0,1.0,21.0,14.0,0.0,28.0,2.0,1.0,31.0,10462.0,2251756.316666667,1
94,2.0,3.0,12.0,0.0,4.0,42.0,1.0,21.0,0.0,4.0,13.0,0.0,3.0,0.0,1.0,0.0,24.0,1.0,32.0,11.0,0.0,25.0,0.0,2.0,55.0,10463.0,4411306.308641976,1
95,0.0,0.0,3.0,0.0,5.0,0.0,1.0,0.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,1.0,1.0,3.0,0.0,5.0,0.0,2.0,4.0,10464.0,469348.64705882355,3
96,0.0,1.0,5.0,0.0,0.0,19.0,2.0,5.0,1.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,6.0,2.0,19.0,4.0,0.0,6.0,1.0,0.0,21.0,10465.0,4899834.714285715,3
97,0.0,2.0,16.0,1.0,0.0,36.0,2.0,18.0,0.0,1.0,18.0,0.0,2.0,0.0,5.0,0.0,4.0,2.0,28.0,19.0,0.0,19.0,1.0,0.0,19.0,10466.0,891270.6458333334,1
98,2.0,0.0,26.0,2.0,4.0,38.0,1.0,57.0,0.0,10.0,35.0,0.0,2.0,0.0,0.0,0.0,12.0,0.0,29.0,16.0,0.0,21.0,3.0,1.0,77.0,10467.0,5217551.8,0
